name,setting,unit,short_desc,reset_val
allow_system_table_mods,off,,Allows modifications of the structure of system tables.,off
application_name,psql,,Sets the application name to be reported in statistics and logs.,psql
archive_command,(disabled),,Sets the shell command that will be called to archive a WAL file.,""
archive_mode,off,,Allows archiving of WAL files using archive_command.,off
archive_timeout,0,s,Forces a switch to the next WAL file if a new file has not been started within N seconds.,0
array_nulls,on,,Enable input of NULL elements in arrays.,on
authentication_timeout,60,s,Sets the maximum allowed time to complete client authentication.,60
autovacuum,on,,Starts the autovacuum subprocess.,on
autovacuum_analyze_scale_factor,0.1,,"Number of tuple inserts, updates, or deletes prior to analyze as a fraction of reltuples.",0.1
autovacuum_analyze_threshold,50,,"Minimum number of tuple inserts, updates, or deletes prior to analyze.",50
autovacuum_freeze_max_age,200000000,,Age at which to autovacuum a table to prevent transaction ID wraparound.,200000000
autovacuum_max_workers,4,,Sets the maximum number of simultaneously running autovacuum worker processes.,4
autovacuum_multixact_freeze_max_age,400000000,,Multixact age at which to autovacuum a table to prevent multixact wraparound.,400000000
autovacuum_naptime,60,s,Time to sleep between autovacuum runs.,60
autovacuum_vacuum_cost_delay,20,ms,"Vacuum cost delay in milliseconds, for autovacuum.",20
autovacuum_vacuum_cost_limit,-1,,"Vacuum cost amount available before napping, for autovacuum.",-1
autovacuum_vacuum_scale_factor,0.2,,Number of tuple updates or deletes prior to vacuum as a fraction of reltuples.,0.2
autovacuum_vacuum_threshold,50,,Minimum number of tuple updates or deletes prior to vacuum.,50
autovacuum_work_mem,-1,kB,Sets the maximum memory to be used by each autovacuum worker process.,-1
backend_flush_after,0,8kB,Number of pages after which previously performed writes are flushed to disk.,0
backslash_quote,safe_encoding,,"Sets whether ""\'"" is allowed in string literals.",safe_encoding
bgwriter_delay,50,ms,Background writer sleep time between rounds.,50
bgwriter_flush_after,64,8kB,Number of pages after which previously performed writes are flushed to disk.,64
bgwriter_lru_maxpages,100,,Background writer maximum number of LRU pages to flush per round.,100
bgwriter_lru_multiplier,2,,Multiple of the average buffer usage to free per round.,2
block_size,8192,,Shows the size of a disk block.,8192
bonjour,off,,Enables advertising the server via Bonjour.,off
bonjour_name,"",,Sets the Bonjour service name.,""
bytea_output,hex,,Sets the output format for bytea.,hex
check_function_bodies,on,,Check function bodies during CREATE FUNCTION.,on
checkpoint_completion_target,0.9,,"Time spent flushing dirty buffers during checkpoint, as fraction of checkpoint interval.",0.9
checkpoint_flush_after,32,8kB,Number of pages after which previously performed writes are flushed to disk.,32
checkpoint_timeout,300,s,Sets the maximum time between automatic WAL checkpoints.,300
checkpoint_warning,30,s,Enables warnings if checkpoint segments are filled more frequently than this.,30
client_encoding,UTF8,,Sets the client's character set encoding.,UTF8
client_min_messages,notice,,Sets the message levels that are sent to the client.,notice
cluster_name,"",,"Sets the name of the cluster, which is included in the process title.",""
commit_delay,0,,Sets the delay in microseconds between transaction commit and flushing WAL to disk.,0
commit_siblings,5,,Sets the minimum concurrent open transactions before performing commit_delay.,5
config_file,/home/postgres/tmp_master_dir_polardb_pg_1100_bld/postgresql.conf,,Sets the server's main configuration file.,/home/postgres/tmp_master_dir_polardb_pg_1100_bld/postgresql.conf
constraint_exclusion,partition,,Enables the planner to use constraints to optimize queries.,partition
cpu_index_tuple_cost,0.005,,Sets the planner's estimate of the cost of processing each index entry during an index scan.,0.005
cpu_operator_cost,0.0025,,Sets the planner's estimate of the cost of processing each operator or function call.,0.0025
cpu_tuple_cost,0.01,,Sets the planner's estimate of the cost of processing each tuple (row).,0.01
cursor_tuple_fraction,0.1,,Sets the planner's estimate of the fraction of a cursor's rows that will be retrieved.,0.1
data_checksums,off,,Shows whether data checksums are turned on for this cluster.,off
data_directory,/home/postgres/tmp_master_dir_polardb_pg_1100_bld,,Sets the server's data directory.,/home/postgres/tmp_master_dir_polardb_pg_1100_bld
data_directory_mode,0700,,Mode of the data directory.,448
data_sync_retry,off,,Whether to continue running after a failure to sync data files.,off
DateStyle,"ISO, MDY",,Sets the display format for date and time values.,"ISO, MDY"
db_user_namespace,off,,Enables per-database user names.,off
deadlock_timeout,1000,ms,Sets the time to wait on a lock before checking for deadlock.,1000
debug_assertions,off,,Shows whether the running server has assertion checks enabled.,off
debug_deadlocks,off,,Dumps information about all current locks when a deadlock timeout occurs.,off
debug_pretty_print,on,,Indents parse and plan tree displays.,on
debug_print_parse,off,,Logs each query's parse tree.,off
debug_print_plan,off,,Logs each query's execution plan.,off
debug_print_rewritten,off,,Logs each query's rewritten parse tree.,off
default_statistics_target,100,,Sets the default statistics target.,100
default_tablespace,"",,Sets the default tablespace to create tables and indexes in.,""
default_text_search_config,pg_catalog.english,,Sets default text search configuration.,pg_catalog.english
default_transaction_deferrable,off,,Sets the default deferrable status of new transactions.,off
default_transaction_isolation,read committed,,Sets the transaction isolation level of each new transaction.,read committed
default_transaction_read_only,off,,Sets the default read-only status of new transactions.,off
default_with_oids,off,,Create new tables with OIDs by default.,off
dynamic_library_path,$libdir,,Sets the path for dynamically loadable modules.,$libdir
dynamic_shared_memory_type,posix,,Selects the dynamic shared memory implementation used.,posix
effective_cache_size,262144,8kB,Sets the planner's assumption about the total size of the data caches.,262144
effective_io_concurrency,1,,Number of simultaneous requests that can be handled efficiently by the disk subsystem.,1
enable_bitmapscan,on,,Enables the planner's use of bitmap-scan plans.,on
enable_gathermerge,on,,Enables the planner's use of gather merge plans.,on
enable_hashagg,on,,Enables the planner's use of hashed aggregation plans.,on
enable_hashjoin,on,,Enables the planner's use of hash join plans.,on
enable_indexonlyscan,on,,Enables the planner's use of index-only-scan plans.,on
enable_indexscan,on,,Enables the planner's use of index-scan plans.,on
enable_material,on,,Enables the planner's use of materialization.,on
enable_mergejoin,on,,Enables the planner's use of merge join plans.,on
enable_nestloop,on,,Enables the planner's use of nested-loop join plans.,on
enable_parallel_append,on,,Enables the planner's use of parallel append plans.,on
enable_parallel_hash,on,,Enables the planner's use of parallel hash plans.,on
enable_partition_pruning,on,,Enable plan-time and run-time partition pruning.,on
enable_partitionwise_aggregate,off,,Enables partitionwise aggregation and grouping.,off
enable_partitionwise_join,off,,Enables partitionwise join.,off
enable_seqscan,on,,Enables the planner's use of sequential-scan plans.,on
enable_sort,on,,Enables the planner's use of explicit sort steps.,on
enable_tidscan,on,,Enables the planner's use of TID scan plans.,on
escape_string_warning,on,,Warn about backslash escapes in ordinary string literals.,on
event_source,PostgreSQL,,Sets the application name used to identify PostgreSQL messages in the event log.,PostgreSQL
exit_on_error,off,,Terminate session on any error.,off
external_pid_file,"",,Writes the postmaster PID to the specified file.,
extra_float_digits,0,,Sets the number of digits displayed for floating-point values.,0
force_parallel_mode,off,,Forces use of parallel query facilities.,off
from_collapse_limit,8,,Sets the FROM-list size beyond which subqueries are not collapsed.,8
fsync,off,,Forces synchronization of updates to disk.,off
full_page_writes,on,,Writes full pages to WAL when first modified after a checkpoint.,on
geqo,on,,Enables genetic query optimization.,on
geqo_effort,5,,GEQO: effort is used to set the default for other GEQO parameters.,5
geqo_generations,0,,GEQO: number of iterations of the algorithm.,0
geqo_pool_size,0,,GEQO: number of individuals in the population.,0
geqo_seed,0,,GEQO: seed for random path selection.,0
geqo_selection_bias,2,,GEQO: selective pressure within the population.,2
geqo_threshold,12,,Sets the threshold of FROM items beyond which GEQO is used.,12
gin_fuzzy_search_limit,0,,Sets the maximum allowed result for exact search by GIN.,0
gin_pending_list_limit,4096,kB,Sets the maximum size of the pending list for GIN index.,4096
hba_file,/home/postgres/tmp_master_dir_polardb_pg_1100_bld/pg_hba.conf,,"Sets the server's ""hba"" configuration file.",/home/postgres/tmp_master_dir_polardb_pg_1100_bld/pg_hba.conf
hot_standby,on,,Allows connections and queries during recovery.,on
hot_standby_feedback,off,,Allows feedback from a hot standby to the primary that will avoid query conflicts.,off
huge_pages,try,,Use of huge pages on Linux or Windows.,try
ident_file,/home/postgres/tmp_master_dir_polardb_pg_1100_bld/pg_ident.conf,,"Sets the server's ""ident"" configuration file.",/home/postgres/tmp_master_dir_polardb_pg_1100_bld/pg_ident.conf
idle_in_transaction_session_timeout,0,ms,Sets the maximum allowed duration of any idling transaction.,0
ignore_checksum_failure,off,,Continues processing after a checksum failure.,off
ignore_system_indexes,off,,Disables reading from system indexes.,off
integer_datetimes,on,,Datetimes are integer based.,on
IntervalStyle,postgres,,Sets the display format for interval values.,postgres
jit,off,,Allow JIT compilation.,off
jit_above_cost,100000,,Perform JIT compilation if query is more expensive.,100000
jit_debugging_support,off,,Register JIT compiled function with debugger.,off
jit_dump_bitcode,off,,Write out LLVM bitcode to facilitate JIT debugging.,off
jit_expressions,on,,Allow JIT compilation of expressions.,on
jit_inline_above_cost,500000,,Perform JIT inlining if query is more expensive.,500000
jit_optimize_above_cost,500000,,Optimize JITed functions if query is more expensive.,500000
jit_profiling_support,off,,Register JIT compiled function with perf profiler.,off
jit_provider,llvmjit,,JIT provider to use.,llvmjit
